session_id,journey_sequence,session_length,event_1,event_2,event_3,event_4,event_5,event_6
1,"%, Different, categories, found, in, input, file:",7,%,Different,categories,found,in,input
2,"frontpage, news, tech, local, opinion, on-air, misc, weather, msn-news, health, living, business",17,frontpage,news,tech,local,opinion,on-air
3,"%, Sequences:",2,%,Sequences:,,,,
4,"frontpage, frontpage",2,frontpage,frontpage,,,,
5,"tech, news, news, local, news, news, news, tech, tech",9,tech,news,news,local,news,news
6,"frontpage, frontpage",2,frontpage,frontpage,,,,
7,"on-air, misc, misc, misc, on-air, on-air, weather, weather, weather, weather",10,on-air,misc,misc,misc,on-air,on-air
8,"on-air, health, local, local, local, living, tech, living, opinion, living, local, local",13,on-air,health,local,local,local,living
9,"frontpage, frontpage, frontpage, business, frontpage, frontpage, frontpage",7,frontpage,frontpage,frontpage,business,frontpage,frontpage
10,"sports, sports",2,sports,sports,,,,
11,"frontpage, frontpage",2,frontpage,frontpage,,,,
12,"weather, weather, weather, weather, weather, weather",6,weather,weather,weather,weather,weather,weather
13,"health, sports",2,health,sports,,,,
14,"summary, summary, summary",3,summary,summary,summary,,,
15,"on-air, health, health, health, health, health, health",7,on-air,health,health,health,health,health
16,"news, on-air",2,news,on-air,,,,
17,"on-air, misc, misc, misc, on-air, misc",6,on-air,misc,misc,misc,on-air,misc
18,"on-air, on-air, on-air",3,on-air,on-air,on-air,,,
19,"news, local, local, local, tech",5,news,local,local,local,tech,
20,"weather, weather, frontpage, misc, weather, weather, weather, weather, weather, weather, weather, weather",15,weather,weather,frontpage,misc,weather,weather
21,"frontpage, frontpage",2,frontpage,frontpage,,,,
22,"summary, misc, summary, misc, misc, summary, misc, summary, misc, summary, misc, summary",24,summary,misc,summary,misc,misc,summary
23,"weather, weather, weather",3,weather,weather,weather,,,
24,"weather, weather",2,weather,weather,,,,
25,"summary, summary",2,summary,summary,,,,
26,"summary, weather, summary, summary, summary, bbs, bbs, bbs, bbs, bbs",10,summary,weather,summary,summary,summary,bbs
27,"on-air, on-air, on-air, on-air",4,on-air,on-air,on-air,on-air,,
28,"summary, summary",2,summary,summary,,,,
29,"weather, weather",2,weather,weather,,,,
30,"summary, summary, summary",3,summary,summary,summary,,,
31,"frontpage, frontpage, weather",3,frontpage,frontpage,weather,,,
32,"summary, bbs",2,summary,bbs,,,,
33,"summary, summary, summary, summary, summary, summary, summary, health",8,summary,summary,summary,summary,summary,summary
34,"frontpage, tech, tech, frontpage",4,frontpage,tech,tech,frontpage,,
35,"weather, weather, weather, misc, local, weather, weather, weather",8,weather,weather,weather,misc,local,weather
36,"frontpage, frontpage, business, frontpage, sports, frontpage, frontpage, frontpage, frontpage, frontpage",10,frontpage,frontpage,business,frontpage,sports,frontpage
37,"on-air, health, health, health, health, misc, health",7,on-air,health,health,health,health,misc
38,"summary, bbs, summary",3,summary,bbs,summary,,,
39,"frontpage, frontpage, frontpage",3,frontpage,frontpage,frontpage,,,
40,"news, sports, tech, local, sports, sports",6,news,sports,tech,local,sports,sports
41,"frontpage, tech, tech",3,frontpage,tech,tech,,,
42,"frontpage, frontpage, sports, frontpage",4,frontpage,frontpage,sports,frontpage,,
43,"bbs, bbs, bbs, bbs, bbs, bbs",6,bbs,bbs,bbs,bbs,bbs,bbs
44,"frontpage, frontpage",2,frontpage,frontpage,,,,
45,"business, business, bbs",3,business,business,bbs,,,
46,"on-air, weather",2,on-air,weather,,,,
47,"health, sports, health, health, health, health, misc, local, local, local, local, local",14,health,sports,health,health,health,health
48,"frontpage, news, frontpage, bbs, bbs, bbs, bbs, bbs, bbs, bbs, bbs, bbs",18,frontpage,news,frontpage,bbs,bbs,bbs
49,"frontpage, on-air, on-air",3,frontpage,on-air,on-air,,,
50,"frontpage, local, misc, frontpage, living, living, frontpage, news, news, frontpage, frontpage, on-air",13,frontpage,local,misc,frontpage,living,living
51,"weather, weather, weather, weather",4,weather,weather,weather,weather,,
52,"frontpage, frontpage, sports, news, news, local",6,frontpage,frontpage,sports,news,news,local
53,"frontpage, frontpage, frontpage, frontpage, frontpage, frontpage, frontpage, frontpage",8,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
54,"weather, weather, weather, weather, weather, weather, weather",7,weather,weather,weather,weather,weather,weather
55,"frontpage, frontpage, local, living, living, living, living, living, travel, living",10,frontpage,frontpage,local,living,living,living
56,"on-air, travel, on-air",3,on-air,travel,on-air,,,
57,"weather, weather, weather, weather",4,weather,weather,weather,weather,,
58,"tech, tech",2,tech,tech,,,,
59,"weather, weather",2,weather,weather,,,,
60,"tech, tech, tech, local",4,tech,tech,tech,local,,
61,"summary, summary, bbs",3,summary,summary,bbs,,,
62,"summary, summary, summary, summary",4,summary,summary,summary,summary,,
63,"weather, weather, weather, weather, weather, weather, weather, weather, weather",9,weather,weather,weather,weather,weather,weather
64,"local, local, on-air",3,local,local,on-air,,,
65,"health, misc, health, misc, misc, health, sports, on-air, living, summary, bbs, sports",13,health,misc,health,misc,misc,health
66,"frontpage, opinion, opinion, opinion",4,frontpage,opinion,opinion,opinion,,
67,"bbs, bbs, bbs, bbs",4,bbs,bbs,bbs,bbs,,
68,"bbs, bbs, bbs",3,bbs,bbs,bbs,,,
69,"local, local, living, living, living, living, news, news, news, news, living, sports",18,local,local,living,living,living,living
70,"frontpage, frontpage",2,frontpage,frontpage,,,,
71,"frontpage, frontpage",2,frontpage,frontpage,,,,
72,"local, local, health, health, tech",5,local,local,health,health,tech,
73,"sports, sports, sports",3,sports,sports,sports,,,
74,"health, health, local, local",4,health,health,local,local,,
75,"health, health, health, health, health, on-air, health, on-air",8,health,health,health,health,health,on-air
76,"weather, weather, weather, weather, weather, summary, summary, summary, summary, weather, weather, weather",21,weather,weather,weather,weather,weather,summary
77,"frontpage, frontpage, frontpage, sports, frontpage, living, living, bbs, news, bbs, bbs, bbs",14,frontpage,frontpage,frontpage,sports,frontpage,living
78,"on-air, on-air",2,on-air,on-air,,,,
79,"summary, summary, summary, summary, summary, summary, summary",7,summary,summary,summary,summary,summary,summary
80,"weather, local, local",3,weather,local,local,,,
81,"tech, tech",2,tech,tech,,,,
82,"summary, health",2,summary,health,,,,
83,"health, sports, sports",3,health,sports,sports,,,
84,"on-air, travel, on-air",3,on-air,travel,on-air,,,
85,"health, health, health, health, health",5,health,health,health,health,health,
86,"summary, summary, summary, bbs, bbs, bbs, bbs, bbs, bbs, bbs, bbs, bbs",19,summary,summary,summary,bbs,bbs,bbs
87,"on-air, health, health, news",4,on-air,health,health,news,,
88,"health, health, tech, business",4,health,health,tech,business,,
89,"opinion, opinion, opinion, opinion, opinion, opinion, opinion, opinion, opinion, opinion, opinion, opinion",30,opinion,opinion,opinion,opinion,opinion,opinion
90,"frontpage, frontpage, news",3,frontpage,frontpage,news,,,
91,"frontpage, frontpage, frontpage",3,frontpage,frontpage,frontpage,,,
92,"sports, sports",2,sports,sports,,,,
93,"frontpage, tech, tech, tech, tech",5,frontpage,tech,tech,tech,tech,
94,"sports, sports, frontpage",3,sports,sports,frontpage,,,
95,"business, frontpage, frontpage, frontpage, news, frontpage, frontpage, opinion, opinion, opinion, opinion, opinion",25,business,frontpage,frontpage,frontpage,news,frontpage
96,"weather, weather, weather, weather, weather, weather, weather, weather, weather",9,weather,weather,weather,weather,weather,weather
97,"health, health, health, health, health, opinion, opinion, opinion, opinion, opinion, opinion, opinion",30,health,health,health,health,health,opinion
98,"sports, health, tech, sports, local, health, sports",7,sports,health,tech,sports,local,health
99,"frontpage, news, news, news, news, news, on-air, on-air, misc, misc, misc, misc",12,frontpage,news,news,news,news,news
100,"bbs, tech, local",3,bbs,tech,local,,,
101,"on-air, news, news, news, travel, news, news, frontpage, news, weather, opinion, on-air",250,on-air,news,news,news,travel,news
102,"health, tech, tech",3,health,tech,tech,,,
103,"frontpage, frontpage, frontpage, frontpage, frontpage, frontpage, news, frontpage",8,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
104,"on-air, weather, weather, weather, weather, sports",6,on-air,weather,weather,weather,weather,sports
105,"frontpage, bbs, frontpage, bbs, frontpage, frontpage, frontpage, frontpage, frontpage",9,frontpage,bbs,frontpage,bbs,frontpage,frontpage
106,"health, misc, misc, health, local, local, local, local, local, misc, local, on-air",12,health,misc,misc,health,local,local
107,"frontpage, bbs, bbs, bbs, bbs, bbs, bbs, bbs, frontpage, bbs, bbs, bbs",20,frontpage,bbs,bbs,bbs,bbs,bbs
108,"frontpage, frontpage, bbs, frontpage, bbs, bbs, bbs",7,frontpage,frontpage,bbs,frontpage,bbs,bbs
109,"local, local, local, local, local",5,local,local,local,local,local,
110,"on-air, local",2,on-air,local,,,,
111,"tech, tech",2,tech,tech,,,,
112,"health, health, opinion, opinion, opinion",5,health,health,opinion,opinion,opinion,
113,"weather, weather, weather, weather, weather, weather, weather, weather, weather",9,weather,weather,weather,weather,weather,weather
114,"health, health, on-air, on-air",4,health,health,on-air,on-air,,
115,"bbs, bbs, frontpage",3,bbs,bbs,frontpage,,,
116,"health, local",2,health,local,,,,
117,"frontpage, frontpage, business, business, business, frontpage, news, frontpage, sports, frontpage",10,frontpage,frontpage,business,business,business,frontpage
118,"health, health, summary, summary, summary, summary, weather, weather, on-air, on-air, sports, health",131,health,health,summary,summary,summary,summary
119,"local, health",2,local,health,,,,
